timestamp,yaw,pitch,roll
0.0,-0.3964,-14.0986,-22.2258
0.1,0.4661,-14.2683,-20.894
0.2,0.6473,-14.3182,-20.9063
0.3,0.3181,-14.2904,-21.8871
0.4,-0.3507,-14.2271,-23.4609
0.5,-1.1882,-14.1704,-25.252
0.6,-2.019,-14.1728,-26.7722
0.7,-2.4616,-14.5515,-27.4615
0.8,-2.5852,-14.468,-27.1995
0.9,-2.5173,-15.1215,-26.5571
1.0,-2.3751,-15.0272,-25.8045
1.1,-2.3776,-14.981,-25.2363
1.2,-2.313,-15.3027,-24.915
1.3,-2.6403,-15.3891,-24.7834
1.4,-3.1594,-14.5156,-24.7182
1.5,-3.0947,-14.2454,-24.2633
1.6,-2.9822,-13.9875,-24.2598
1.7,-2.9452,-13.8264,-24.806
1.8,-2.7692,-13.5399,-25.0907
1.9,-2.231,-13.6325,-25.2859
2.0,-1.7255,-13.3465,-25.3254
2.1,-1.2358,-13.1086,-24.9347
2.2,-1.2098,-13.198,-24.5637
2.3,-1.2589,-12.6595,-23.7005
2.4,-1.3223,-12.1411,-22.7585
2.5,-1.1371,-12.2236,-21.7149
2.6,-0.991,-12.7174,-20.9604
2.7,-0.9956,-13.2176,-20.6074
2.8,-0.7723,-14.1331,-19.7119
2.9,-1.0197,-14.6781,-19.5345
3.0,-2.8109,-15.011,-19.8611
3.1,-5.9754,-14.2989,-20.2657
3.2,-10.1384,-13.3535,-21.1011
3.3,-14.4278,-11.5832,-21.7418
3.4,-18.7963,-9.635,-22.5126
3.5,-23.0163,-7.4454,-23.6381
3.6,-26.3931,-5.3931,-24.8157
3.7,-28.3527,-3.5586,-25.7367
3.8,-28.8725,-2.5841,-26.1376
3.9,-28.731,-1.7144,-26.9966
4.0,-28.5563,-1.5879,-27.7061
4.1,-27.9928,-1.311,-28.0367
4.2,-26.8761,-1.8855,-28.2654
4.3,-25.5217,-2.4591,-28.2424
4.4,-24.2842,-3.0721,-28.1885
4.5,-23.1813,-3.5277,-28.2567
4.6,-22.0783,-3.9834,-28.3248
4.7,-20.9753,-4.439,-28.3929
4.8,-19.8724,-4.8947,-28.4611
4.9,-18.6755,-5.3299,-28.3775
5.0,-17.5905,-5.5451,-28.4698
5.1,-16.5783,-5.8528,-28.8148
5.2,-15.4172,-7.0829,-29.3123
5.3,-14.5089,-8.2798,-29.6374
5.4,-13.9103,-9.3707,-29.7835
5.5,-13.6422,-10.2912,-29.7495
5.6,-13.6896,-10.9857,-29.5401
5.7,-14.0019,-11.407,-29.1652
5.8,-14.4924,-11.5165,-28.6405
5.9,-15.0387,-11.284,-27.987
6.0,-15.7202,-10.7399,-27.6152
6.1,-16.2885,-10.477,-27.4823
6.2,-16.6005,-10.9114,-27.4361
6.3,-17.0347,-11.0,-27.2662
6.4,-17.469,-11.0886,-27.0962
6.5,-17.9033,-11.1772,-26.9263
6.6,-18.3376,-11.2658,-26.7564
6.7,-18.7718,-11.3544,-26.5865
6.8,-19.2061,-11.443,-26.4166
6.9,-19.6404,-11.5317,-26.2466
7.0,-20.0747,-11.6203,-26.0767
7.1,-20.5089,-11.7089,-25.9068
7.2,-20.9432,-11.7975,-25.7369
7.3,-21.3775,-11.8861,-25.567
7.4,-21.8118,-11.9747,-25.397
7.5,-22.246,-12.0633,-25.2271
7.6,-22.7116,-12.211,-25.0018
7.7,-23.5188,-12.4303,-24.8958
7.8,-23.5124,-12.6562,-24.3678
7.9,-23.8453,-12.1971,-24.3849
8.0,-23.3831,-11.804,-24.4396
8.1,-23.3879,-11.0025,-25.19
8.2,-23.4643,-10.0294,-26.111
8.3,-23.7154,-9.3858,-27.5105
8.4,-23.5422,-9.0419,-28.8954
8.5,-22.6597,-9.1005,-30.2206
8.6,-21.2522,-9.3715,-31.1069
8.7,-19.4174,-10.0941,-31.8642
8.8,-17.1612,-11.1495,-31.3626
8.9,-14.4267,-10.7306,-30.1267
9.0,-11.0764,-9.9261,-27.8638
9.1,-9.7768,-9.2121,-25.6061
9.2,-9.5629,-8.335,-23.2113
