timestamp,yaw,pitch,roll
0.0,0.5135,-14.9586,-21.2584
0.1,-1.2873,-13.8377,-20.4348
0.2,-2.2287,-13.276,-20.5083
0.3,-2.5086,-13.1312,-21.2359
0.4,-2.3247,-13.2611,-22.3745
0.5,-1.8748,-13.5234,-23.6813
0.6,-1.5541,-13.579,-24.6059
0.7,-1.1972,-13.8201,-25.5105
0.8,-1.2522,-13.0165,-25.9264
0.9,-1.6092,-12.7946,-25.6658
1.0,-2.0587,-12.1915,-24.954
1.1,-2.2913,-11.896,-23.7374
1.2,-2.3767,-11.7675,-22.0561
1.3,-2.5783,-11.7654,-20.3084
1.4,-2.7061,-12.3879,-18.5422
1.5,-2.6099,-12.9198,-17.1845
1.6,-2.7147,-13.2663,-16.6153
1.7,-2.5554,-13.129,-17.1517
1.8,-2.2507,-12.8531,-18.1905
1.9,-2.1521,-12.5301,-19.8526
2.0,-2.07,-12.3857,-21.7259
2.1,-1.9325,-12.5456,-23.4649
2.2,-1.5241,-12.9262,-24.6833
2.3,-1.5842,-13.3752,-25.7076
2.4,-1.5463,-13.9937,-26.0551
2.5,-1.8121,-14.1232,-26.04
2.6,-2.3371,-14.3575,-25.7125
2.7,-2.9193,-14.216,-25.0495
2.8,-3.1648,-14.1019,-24.3257
2.9,-3.499,-13.9369,-23.6987
3.0,-3.7865,-14.0398,-23.0984
3.1,-3.9164,-14.0842,-22.5035
3.2,-3.8352,-14.4586,-22.0196
3.3,-3.6778,-14.147,-21.7183
3.4,-3.6097,-13.8505,-21.3642
3.5,-3.5096,-13.7379,-20.945
3.6,-3.4871,-13.4787,-20.4206
3.7,-3.642,-13.2125,-19.9148
3.8,-3.7679,-12.4865,-19.4557
3.9,-3.7845,-12.0054,-19.2282
4.0,-4.1052,-11.4015,-19.3855
4.1,-4.1793,-11.0295,-19.5217
4.2,-4.2912,-10.6627,-19.9329
4.3,-4.1728,-10.1216,-20.2022
4.4,-4.0436,-10.2305,-20.5582
4.5,-3.947,-10.9946,-20.8553
4.6,-3.9713,-11.5964,-20.922
4.7,-4.0994,-12.3501,-20.7607
4.8,-4.1091,-12.9761,-20.6643
4.9,-4.1647,-13.3751,-21.2493
5.0,-4.3832,-13.6323,-21.9879
5.1,-4.4221,-13.6433,-22.49
5.2,-4.6009,-13.5622,-23.1652
5.3,-4.5958,-13.1146,-23.5131
5.4,-4.1657,-13.0356,-23.225
5.5,-4.4143,-12.7192,-23.0875
5.6,-5.9327,-12.0761,-22.9842
5.7,-8.3562,-11.2882,-23.0363
5.8,-11.3374,-10.4102,-23.5271
5.9,-14.6579,-9.5084,-24.4448
6.0,-17.7353,-8.9193,-25.2482
6.1,-20.4419,-8.4952,-26.0046
6.2,-22.3335,-8.3196,-26.7012
6.3,-23.0958,-7.9996,-27.0176
6.4,-22.7023,-8.1948,-26.8775
6.5,-22.1624,-8.1134,-27.0714
6.6,-22.2076,-8.0321,-27.2653
6.7,-22.2528,-7.9508,-27.4592
6.8,-22.298,-7.8694,-27.6531
6.9,-22.3432,-7.7881,-27.847
7.0,-22.3884,-7.7068,-28.0409
7.1,-22.4336,-7.6255,-28.2348
7.2,-22.4788,-7.5441,-28.4287
7.3,-22.524,-7.4628,-28.6226
7.4,-22.5691,-7.3815,-28.8164
7.5,-22.6143,-7.3001,-29.0103
7.6,-22.6595,-7.2188,-29.2042
7.7,-22.7047,-7.1375,-29.3981
7.8,-22.7499,-7.0562,-29.592
7.9,-22.7951,-6.9748,-29.7859
8.0,-22.8403,-6.8935,-29.9798
8.1,-22.8855,-6.8122,-30.1737
8.2,-22.9307,-6.7308,-30.3676
8.3,-23.0213,-6.5568,-30.7466
8.4,-23.1006,-6.4059,-31.0793
8.5,-23.1243,-6.3684,-31.1858
8.6,-23.0609,-6.5085,-30.9374
8.7,-22.8912,-6.865,-30.257
8.8,-22.5756,-7.5454,-28.9629
8.9,-22.1387,-8.4317,-27.2521
9.0,-21.6616,-9.3767,-25.3831
9.1,-21.2218,-10.2371,-23.6158
9.2,-20.8939,-10.8743,-22.2114
9.3,-20.749,-11.1536,-21.4331
9.4,-20.7403,-11.1791,-21.0771
9.5,-20.8505,-10.992,-21.0753
9.6,-21.0466,-10.6638,-21.3095
9.7,-21.2797,-10.2956,-21.6115
9.8,-21.4851,-10.0188,-21.7634
9.9,-21.6671,-9.7553,-21.8917
10.0,-21.8491,-9.4918,-22.0199
10.1,-22.031,-9.2283,-22.1482
10.2,-22.213,-8.9648,-22.2765
10.3,-22.395,-8.7013,-22.4048
10.4,-22.577,-8.4378,-22.533
10.5,-22.759,-8.1743,-22.6613
10.6,-22.941,-7.9108,-22.7896
10.7,-23.1229,-7.6473,-22.9179
10.8,-23.3049,-7.3838,-23.0461
10.9,-23.4869,-7.1203,-23.1744
11.0,-23.7319,-6.7893,-23.2925
11.1,-23.9611,-6.4752,-23.4131
11.2,-24.1133,-6.2435,-23.5462
11.3,-24.1448,-6.1413,-23.6989
11.4,-24.0294,-6.1966,-23.8754
11.5,-23.7582,-6.4188,-24.0771
11.6,-23.34,-6.7985,-24.3027
11.7,-22.8012,-7.3076,-24.5479
11.8,-22.1853,-7.8992,-24.8056
11.9,-21.509,-8.6723,-24.9495
12.0,-21.1563,-9.0393,-25.2038
12.1,-20.5514,-9.3864,-25.5047
12.2,-19.7899,-9.8406,-25.9121
12.3,-18.8635,-10.3936,-26.5802
12.4,-18.1681,-10.7424,-27.5053
12.5,-17.4504,-11.137,-28.6129
12.6,-16.9461,-11.3856,-29.771
12.7,-16.6199,-11.1893,-31.0117
12.8,-15.9185,-11.895,-32.0449
12.9,-15.1625,-12.5682,-32.6326
13.0,-14.2755,-12.5451,-32.8307
13.1,-13.0873,-12.6406,-32.508
13.2,-11.7495,-12.2106,-31.9179
13.3,-10.2372,-11.314,-30.8416
13.4,-8.9767,-10.3581,-29.7098
13.5,-7.5336,-9.8881,-28.7509
13.6,-6.4489,-9.7642,-27.8947
