timestamp,yaw,pitch,roll
0.0,5.3451,-12.2414,-20.8225
0.1,5.4904,-11.4867,-19.8302
0.2,5.5229,-10.8916,-19.354
0.3,5.4718,-10.4366,-19.2767
0.4,5.3666,-10.1021,-19.4812
0.5,5.2367,-9.8688,-19.8503
0.6,5.0802,-9.6318,-20.2437
0.7,5.1235,-9.6622,-20.3252
0.8,5.101,-9.6449,-20.4481
0.9,4.9383,-9.5642,-20.4339
1.0,5.1041,-9.4337,-19.9412
1.1,5.3638,-9.3,-19.512
1.2,5.3731,-9.2527,-19.3684
1.3,4.8738,-9.9276,-19.546
1.4,5.0645,-10.2011,-19.7924
1.5,4.9906,-10.4768,-20.4326
1.6,4.9355,-10.521,-21.1118
1.7,4.7059,-10.4122,-21.5975
1.8,5.1193,-9.7138,-21.3032
1.9,5.1229,-8.9169,-20.9628
2.0,5.2021,-8.2873,-20.3655
2.1,5.3232,-7.4962,-19.4283
2.2,4.9764,-7.4455,-18.7696
2.3,4.8341,-7.9694,-18.0168
2.4,5.0224,-8.002,-17.5241
2.5,4.9694,-8.185,-17.5613
2.6,5.0887,-7.6881,-17.9266
2.7,5.1028,-6.6579,-18.4304
2.8,5.7364,-4.69,-18.6027
2.9,5.9182,-2.921,-19.2043
3.0,5.8496,-1.1221,-20.2369
3.1,6.0007,0.7992,-21.1906
3.2,5.6506,1.9164,-22.1587
3.3,5.539,2.8371,-22.8053
3.4,5.1274,3.5388,-23.402
3.5,4.7445,3.449,-23.9617
3.6,4.4875,3.1557,-24.1028
3.7,4.4641,2.738,-23.9676
3.8,4.8011,1.9996,-23.716
3.9,5.2092,1.1416,-23.642
4.0,5.2715,0.8995,-24.0632
4.1,5.0028,0.7617,-24.4337
4.2,4.1999,0.7345,-24.6286
4.3,3.0795,0.9077,-24.8601
4.4,1.6549,0.7137,-24.692
4.5,0.5946,-0.0846,-24.0344
4.6,-0.5248,-0.5968,-23.0185
4.7,-1.6338,-1.5827,-22.2238
4.8,-2.3289,-2.8959,-21.6725
4.9,-2.5556,-4.0188,-20.9224
5.0,-2.5035,-4.8024,-20.6733
5.1,-0.8473,-6.0743,-20.6358
5.2,2.9289,-7.4736,-20.5251
5.3,7.0331,-9.0565,-20.9255
5.4,11.9173,-10.4675,-20.7882
5.5,16.3468,-11.2441,-20.3492
5.6,19.3013,-11.5692,-19.759
5.7,20.6713,-11.916,-19.104
5.8,20.684,-12.0024,-18.0717
5.9,19.7317,-11.4777,-16.6257
6.0,18.5939,-11.0047,-15.6017
6.1,18.0874,-11.0205,-14.8657
6.2,18.1108,-10.927,-14.2374
6.3,18.0696,-10.9119,-14.3082
6.4,18.4265,-10.7508,-14.1059
6.5,18.1495,-10.671,-14.0785
6.6,17.7364,-10.9617,-14.1438
6.7,17.2845,-11.4316,-14.3533
6.8,17.9164,-11.5571,-14.934
6.9,19.6574,-10.8594,-15.869
7.0,21.9354,-10.1599,-17.1249
7.1,24.0679,-9.2707,-18.5087
7.2,25.9752,-7.9608,-19.7565
7.3,27.6923,-6.7496,-20.7475
7.4,28.5143,-5.7624,-21.334
7.5,28.2526,-4.97,-21.7209
7.6,27.3691,-4.2654,-21.8537
7.7,26.0951,-4.06,-22.105
7.8,25.2219,-4.1039,-22.4034
7.9,24.3805,-4.0655,-22.5811
8.0,23.5455,-4.0243,-22.5093
8.1,22.6984,-4.0348,-22.1044
8.2,21.8284,-4.1261,-21.3273
8.3,21.019,-4.267,-19.9408
8.4,19.9347,-4.6293,-18.3597
8.5,18.7459,-4.9903,-16.8396
8.6,17.7317,-4.9951,-15.5129
8.7,16.2672,-5.4708,-14.6743
8.8,15.9171,-6.2008,-14.645
8.9,16.6585,-6.492,-15.348
9.0,18.1102,-6.6489,-16.4859
9.1,19.9757,-6.6979,-17.7867
9.2,21.9462,-6.6792,-18.9448
9.3,23.7002,-6.6468,-19.6206
9.4,24.6827,-6.757,-20.0543
9.5,24.9708,-6.7774,-20.1234
9.6,24.5472,-6.6673,-19.7813
9.7,23.2784,-6.8373,-19.2918
9.8,22.7627,-6.9045,-19.0608
9.9,22.2469,-6.9717,-18.8298
10.0,21.7312,-7.0389,-18.5988
10.1,21.2154,-7.1062,-18.3679
10.2,20.6996,-7.1734,-18.1369
10.3,20.1839,-7.2406,-17.9059
10.4,19.6681,-7.3078,-17.6749
10.5,19.1524,-7.375,-17.4439
10.6,18.8301,-7.1629,-17.0721
10.7,18.2966,-7.5434,-16.9151
10.8,17.6403,-7.8688,-16.8678
10.9,16.8103,-8.027,-16.814
11.0,15.6048,-8.6468,-16.8376
11.1,14.1385,-9.0161,-16.7955
11.2,12.917,-9.1276,-16.6362
11.3,11.1374,-9.0445,-16.5495
11.4,9.6523,-8.3346,-16.4552
11.5,8.642,-7.6765,-17.1807
11.6,8.4357,-7.0131,-18.2557
11.7,8.2604,-7.0134,-19.6176
11.8,8.5725,-7.1747,-20.856
11.9,9.1975,-7.6454,-22.0897
12.0,9.2936,-8.6928,-23.3342
12.1,9.6348,-9.3401,-24.056
12.2,10.2896,-9.5043,-24.3234
12.3,10.2901,-9.5113,-24.9846
12.4,10.5631,-9.2034,-25.498
