Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
0.0,-1.357927,8.395368,5.255386,-0.043448,-0.300622,-0.262634,0.0
0.1,-1.702134,8.319844,4.409015,0.022022,-0.340893,-0.244224,0.0
0.2,-1.437368,8.531609,5.132605,0.022419,-0.239612,-0.06747,0.0
0.3,-1.349193,8.389595,5.116812,0.116309,-0.200578,-0.049236,0.0
0.4,-1.510828,7.80778,5.233701,0.029444,-0.257907,-0.032254,0.0
0.5,-1.4802,8.37787,4.141976,0.045082,-0.320399,-0.054856,0.0
0.6,-1.797249,8.550153,5.229753,0.122142,-0.073334,0.247706,0.0
0.7,-1.72367,8.242077,4.11733,-0.033231,0.149601,0.519571,0.0
0.8,-1.516571,8.58796,5.307161,-0.167499,0.408485,0.725677,0.0
0.9,-0.702174,8.58485,4.514897,-0.006506,0.548862,0.669477,0.0
1.0,0.088774,8.303812,4.69412,0.007117,0.456774,0.413158,0.0
1.1,-0.15015,8.295767,5.759674,0.01489,0.281494,0.11679,0.0
1.2,-0.345882,8.39462,4.596014,0.048167,0.135062,-0.052046,0.0
1.3,-0.698465,8.631509,4.694239,0.031612,0.038943,-0.0883,0.0
1.4,-1.02341,8.882277,4.16734,-0.052198,0.207725,0.152105,0.0
1.5,-0.115813,8.521679,4.983412,-0.073609,0.367618,0.268902,0.0
1.6,0.477488,7.988319,4.386403,0.014111,0.171806,-0.092241,0.0
1.7,-0.398525,8.638329,4.908995,0.032864,-0.238451,-0.477605,0.0
1.8,-0.743689,8.772686,4.699504,-0.013867,-0.267009,-0.373513,0.0
1.9,-1.71374,8.416395,4.484987,-0.018815,-0.183657,-0.13778,0.0
2.0,-1.041357,8.688818,5.224608,0.009224,0.045387,0.165056,0.0
2.1,-0.675015,8.228438,4.245825,0.055283,0.149754,0.210871,0.0
2.2,-0.261775,8.570851,5.109753,0.011545,0.036285,0.060292,0.0
2.3,-0.950848,8.295916,4.413262,-0.06983,0.007865,0.062156,0.0
2.4,-1.055713,8.412446,4.384249,0.004459,0.103969,0.159039,0.0
2.5,-1.433899,8.66465,5.25404,-0.078191,0.339305,0.407202,0.0
2.6,-0.725982,8.505168,4.826802,0.034208,0.482766,0.426811,0.0
2.7,0.149432,8.235857,4.986642,0.027672,0.251676,0.127182,0.0
2.8,-0.353898,8.781181,4.555695,-0.002535,0.04951,-0.100731,0.0
2.9,-0.816072,8.48794,4.211487,0.044288,0.135184,0.004276,0.0
3.0,-0.519242,8.403952,5.144449,0.006597,0.23561,0.112033,0.0
3.1,-0.244187,8.65472,6.072027,-0.020922,0.158,-0.021564,0.0
3.2,-0.690928,8.227122,3.568416,-0.143798,-0.025687,-0.18158,0.0
3.3,-0.760918,8.726504,4.928018,-0.069242,-0.103816,-0.190223,0.0
3.4,-0.965384,8.658668,4.568975,0.003604,-0.058307,-0.091569,0.0
3.5,-0.869432,8.418788,4.530331,-0.05959,0.053787,0.054367,0.0
3.6,-0.720987,8.282158,4.040281,0.021838,0.139392,0.091668,0.0
3.7,-0.604906,8.616435,4.720082,0.06744,0.09954,0.019181,0.0
3.8,-0.284626,8.215756,5.432425,-0.128159,-0.08772,-0.146699,0.0
3.9,-0.917049,8.666445,4.829912,-0.014722,-0.203326,-0.232098,0.0
4.0,-1.209452,8.476335,5.242196,0.013897,0.055955,0.075595,0.0
4.1,-0.773959,8.281081,4.669474,-0.013225,0.20519,0.187658,0.0
4.2,-0.125743,8.335159,5.135237,-0.00507,0.006719,-0.085582,0.0
4.3,-1.003909,8.635936,3.862734,-0.105374,-0.150212,-0.219636,0.0
4.4,-1.149751,8.817552,5.933243,-0.079626,-0.179777,-0.175715,0.0
4.5,-1.072463,8.352387,3.937509,0.023457,-0.032803,-0.010721,0.0
4.6,-0.819901,8.38469,4.359244,-0.019426,0.044899,0.025992,0.0
4.7,-0.815953,8.361569,6.228667,-0.060246,-0.037644,-0.06563,0.0
4.8,-1.144726,8.46808,4.318327,-0.039492,-0.003849,-0.022816,0.0
4.9,-0.469472,8.173045,5.111787,-0.139858,-0.006384,-0.039034,0.0
5.0,-0.593899,8.679964,4.08742,-0.098991,-0.123486,-0.235488,0.0
5.1,-1.408057,8.009136,4.469673,0.059834,-0.360471,-0.451765,0.0
5.2,-2.074816,8.835856,4.733123,-0.057085,-0.408027,-0.261053,0.0
5.3,-1.828954,8.475976,4.778706,-0.041264,-0.154335,0.092088,0.0
5.4,-1.437249,8.733444,3.865605,0.003726,0.041508,0.269788,0.0
5.5,-0.749911,8.163354,5.081398,0.004612,0.117714,0.247003,0.0
5.6,-0.84012,8.63115,4.579982,0.057452,0.069455,0.110719,0.0
5.7,-1.27035,8.952746,5.365067,0.044563,0.053878,0.073854,0.0
5.8,-0.852084,8.073384,3.487061,-0.04893,0.14224,0.147555,0.0
5.9,-0.268894,8.402546,4.269693,-0.016608,0.002481,-0.068188,0.0
6.0,-0.711386,8.771251,5.497989,-0.002596,-0.172356,-0.278127,0.0
6.1,-1.167697,9.041759,3.835216,0.051221,-0.210076,-0.239154,0.0
6.2,-1.400639,8.638209,4.482953,0.031856,-0.075808,-0.026298,0.0
6.3,-0.808535,8.571689,5.144928,0.009988,0.064202,0.09841,0.0
6.4,-0.803988,7.99454,4.662056,-0.032437,0.014997,-0.016127,0.0
6.5,-0.781855,8.733444,4.645665,0.02642,0.016524,-0.085552,0.0
6.6,-0.755773,8.292088,4.242116,0.03485,-0.062522,-0.18833,0.0
6.7,-0.707199,8.644191,5.266244,-0.020647,-0.248286,-0.351614,0.0
6.8,-1.2335,8.508279,4.83063,0.020159,-0.360624,-0.375254,0.0
6.9,-1.364268,8.652207,4.988437,0.055222,-0.292482,-0.187872,0.0
7.0,-1.618386,8.370452,4.579862,0.081275,-0.16811,-0.017929,0.0
7.1,-1.074378,8.289336,4.33714,0.051236,-0.124197,0.052992,0.0
