Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
0.027,-0.679562,8.230113,5.434100,-0.003818,-0.224035,-0.212581,0
0.049,-1.659423,8.507083,6.933802,-0.080176,-0.266184,-0.257785,0
0.060,-1.573879,8.181659,4.323831,0.013439,-0.325285,-0.271529,0
0.079,-1.518844,8.662616,4.329813,-0.103236,-0.386983,-0.308639,0
0.102,-2.239084,8.522038,1.552942,-0.106290,-0.407294,-0.299018,0
0.124,-1.046262,8.702098,8.850452,-0.098502,-0.367435,-0.258549,0
0.146,-1.157528,7.167700,0.943969,0.215177,-0.308334,-0.268322,0
0.164,-2.281556,8.760722,8.518449,0.032070,-0.363159,-0.287106,0
0.186,-1.786242,8.446664,2.179263,0.067653,-0.258243,-0.108123,0
0.204,-2.015953,8.861818,7.555936,-0.095295,-0.304058,-0.120188,0
0.227,-1.164706,8.035697,3.500700,0.075900,-0.238543,-0.066279,0
0.245,-1.768894,8.928818,4.804788,0.047953,-0.244804,-0.079871,0
0.263,-0.608375,8.030911,5.269594,-0.031765,-0.224951,-0.029780,0
0.286,-1.628914,8.800801,4.532006,0.115301,-0.185703,-0.041233,0
0.304,-0.708874,7.568498,5.255835,0.101251,-0.210596,-0.048106,0
0.327,-1.721038,8.537591,7.162915,0.193491,-0.155618,-0.043677,0
0.345,-1.222732,7.767701,2.904887,0.071318,-0.192881,-0.028252,0
0.367,-0.783649,8.119446,6.628717,-0.054825,-0.254883,-0.030543,0
0.387,-2.309672,9.954741,3.631706,0.270308,-0.188910,-0.095600,0
0.409,-1.338784,7.056434,4.301697,0.116370,-0.218384,-0.041844,0
0.428,-1.748555,6.925427,4.287340,-0.018173,-0.250149,-0.027947,0
0.446,-2.325225,8.925228,3.533003,-0.004734,-0.229380,-0.009163,0
0.469,-1.152742,8.276773,6.973283,-0.051313,-0.258243,0.021533,0
0.488,-0.988834,7.855039,7.073184,0.105069,-0.333379,-0.103847,0
0.510,-0.725623,7.508677,4.851448,0.060170,-0.361937,-0.127823,0
0.528,-1.688136,9.359526,5.204988,-0.071013,-0.406225,-0.119424,0
0.550,-1.393819,8.127222,3.994219,0.104152,-0.304822,-0.044288,0
0.570,-1.705484,8.459227,5.601000,-0.045509,-0.306043,-0.016188,0
0.591,-1.887937,8.434700,1.058226,0.177609,-0.222966,0.033445,0
0.610,-1.779662,8.930014,7.893324,0.266337,-0.054978,0.203418,0
0.632,-2.172683,8.647661,2.742175,-0.022297,-0.138972,0.218995,0
0.652,-1.691127,9.326026,7.624729,0.138208,-0.096058,0.232129,0
0.670,-1.146760,5.849853,2.695515,0.239306,-0.074984,0.229227,0
0.692,-2.196013,9.997213,5.193023,-0.010843,-0.001680,0.354760,0
0.713,-2.637489,8.168498,1.019342,0.087965,0.105527,0.442572,0
0.733,-2.328216,9.437292,10.615758,-0.314748,0.050854,0.492815,0
0.753,-1.341177,7.651051,3.555136,0.085368,0.222049,0.560316,0
0.772,-1.597807,8.585447,6.398408,-0.113010,0.156992,0.548862,0
0.793,-0.713659,7.368099,-1.001994,0.088270,0.212581,0.553291,0
0.815,-2.773281,8.816355,7.549953,-0.250607,0.240223,0.590401,0
0.835,-1.406980,9.836894,4.134798,0.074526,0.443182,0.786641,0
0.853,-1.339981,7.505686,4.237091,-0.132100,0.433409,0.733649,0
0.874,-2.015355,10.316056,7.086943,-0.530536,0.364534,0.708145,0
0.893,-0.047258,6.464808,3.527021,0.001222,0.561079,0.809549,0
0.915,-0.745962,7.807182,3.036492,-0.003818,0.541684,0.712574,0
0.934,-1.268794,7.843673,4.278367,-0.069639,0.514348,0.691041,0
0.956,-0.611964,9.253045,4.660022,-0.019853,0.558636,0.689361,0
0.975,-1.462015,9.848260,4.179065,0.029780,0.579100,0.649349,0
0.997,0.577867,8.172088,6.420541,0.031001,0.550542,0.605062,0
1.016,-0.479761,8.249854,6.084948,-0.054367,0.486248,0.524580,0
1.043,0.096311,8.583653,5.061418,0.054978,0.481514,0.481820,0
1.057,-0.159123,7.268797,1.782653,0.055589,0.446084,0.383165,0
1.075,0.008375,9.123235,3.707679,0.075900,0.452651,0.358119,0
