Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
0.0,1.427319,6.642356,7.31103,0.018143,0.107787,0.161971,0
0.1,1.59362,6.855078,7.109196,-0.044715,-0.068631,-0.209618,0
0.2,0.36658,7.175238,6.631588,-0.0405,-0.181885,-0.294773,0
0.3,0.777308,7.635018,8.905248,0.423421,0.022205,0.043615,0
0.4,-1.195514,4.159174,-2.811866,0.320017,0.684703,0.188986,0
0.5,1.637488,8.053144,9.913863,-0.279216,0.669762,0.678187,0
0.6,1.895714,6.747012,6.982406,0.630947,0.456736,0.414281,0
0.7,2.007339,6.648817,6.140222,-0.338236,-0.023274,0.033873,0
0.8,1.221656,7.748199,6.735437,-0.163223,-0.083536,-0.332035,0
0.9,0.479881,6.616873,6.652406,0.551183,-0.029749,-0.284999,0
1.0,1.406381,5.653044,6.718926,-0.343489,0.072968,0.420825,0
1.1,1.496112,6.912027,8.277013,-0.003452,0.099724,0.219789,0
1.2,-0.059462,7.499465,5.676852,0.013439,0.231854,0.315267,0
1.3,2.307279,6.273862,-2.118246,1.16666,0.457171,0.220583,0
1.4,1.769612,7.03454,10.32826,-0.372291,-0.300423,0.194224,0
1.5,0.834497,7.299904,5.390312,0.131703,0.309678,0.067989,0
1.6,2.360639,6.353662,7.809216,0.1175,0.255189,-0.047403,0
1.7,2.424528,3.771537,7.519894,-0.104687,-0.062614,-0.418671,0
1.8,2.151267,6.590551,5.549434,-0.612758,-0.266337,-0.41383,0
1.9,0.219302,7.93795,8.678648,-0.241963,-0.425437,-0.759824,0
2.0,0.053958,6.547959,6.512426,-0.015577,-0.190437,-0.190009,0
2.1,1.102134,6.990392,7.368937,-0.012889,-0.069119,0.099021,0
2.2,0.479881,7.018866,6.627042,0.067898,0.092424,0.29517,0
2.3,1.365703,7.049974,6.670831,0.076755,0.121531,0.203327,0
2.4,1.248336,6.822655,6.685547,0.024771,-0.00846,-0.166552,0
2.5,0.898744,6.763911,7.225606,-0.052443,-0.105557,-0.201127,0
2.6,0.599402,6.953543,6.870392,-0.056444,-0.179442,-0.197309,0
2.7,-0.030867,7.108358,7.156813,0.059559,-0.007055,0.18497,0
2.8,1.164348,6.578827,8.099705,0.208305,0.243124,0.489914,0
2.9,1.135843,6.52762,4.77069,0.160963,0.156954,0.248737,0
3.0,1.311985,6.606942,7.860662,-0.122936,-0.15458,-0.108398,0
3.1,-0.148236,7.089455,6.907122,0.057757,0.053023,0.244285,0
